Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,CostPerTrade,multiple_EMA,multiple_DC,multiple_KF,multiple_TII,InstCapital,Exposure
2021-02-15,30168.73,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,157.856995,0.02,Index,1,1,0.01,7,0,3.5,NA,NA,NA,NA,755.76,NA
2021-02-16,30036.57857142857,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.021247758933597538,NA,157.856995,0.02,Index,1,1,0.01,7,0,3.5,NA,NA,NA,NA,755.76,NA
2021-02-17,29904.42714285714,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.021341448745527812,NA,157.856995,0.02,Index,1,1,0.01,7,0,3.5,NA,NA,NA,NA,755.76,NA
2021-02-18,29772.27571428571,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.02143596844934116,NA,157.856995,0.02,Index,1,1,0.01,7,0,3.5,NA,NA,NA,NA,755.76,NA
2021-02-19,29640.124285714286,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.021531329120733033,NA,157.856995,0.02,Index,1,1,0.01,7,0,3.5,NA,NA,NA,NA,755.76,NA
2021-02-20,29507.972857142857,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.021627542033332076,NA,157.856995,0.02,Index,1,1,0.01,7,0,3.5,NA,NA,NA,NA,755.76,NA
2021-02-21,29375.821428571428,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.021724618663213846,NA,157.856995,0.02,Index,1,1,0.01,7,0,3.5,NA,NA,NA,NA,755.76,NA
2021-02-22,29243.67,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.02182257069339734,NA,157.856995,0.02,Index,1,1,0.01,7,0,3.5,NA,NA,NA,NA,755.76,NA
2021-02-23,29234.841428571428,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0014614012906619678,NA,157.856995,0.02,Index,1,1,0.01,7,0,3.5,NA,NA,NA,NA,755.76,NA
2021-02-24,29226.012857142854,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0014618426829821373,NA,157.856995,0.02,Index,1,1,0.01,7,0,3.5,NA,NA,NA,NA,755.76,NA
2021-02-25,29217.184285714284,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0014622843419988384,NA,157.856995,0.02,Index,1,1,0.01,7,0,3.5,NA,NA,NA,NA,755.76,NA
2021-02-26,29208.355714285713,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0014627262679871933,NA,157.856995,0.02,Index,1,1,0.01,7,0,3.5,NA,NA,NA,NA,755.76,NA
2021-02-27,29199.527142857143,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0014631684611535432,NA,157.856995,0.02,Index,1,1,0.01,7,0,3.5,NA,NA,NA,NA,755.76,NA
2021-02-28,29190.69857142857,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0014636109217644132,NA,157.856995,0.02,Index,1,1,0.01,7,0,3.5,NA,NA,NA,NA,755.76,NA
2021-03-01,29181.87,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.001464053650060535,NA,157.856995,0.02,Index,1,1,0.01,7,0,3.5,NA,NA,NA,NA,755.76,NA
2021-03-02,29254.075714285715,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.01196098842010457,NA,157.856995,0.02,Index,1,1,0.01,7,0,3.5,NA,NA,NA,NA,755.76,NA
2021-03-03,29326.281428571427,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.011931502338744621,NA,157.856995,0.02,Index,1,1,0.01,7,0,3.5,NA,NA,NA,NA,755.76,NA
2021-03-04,29398.487142857142,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.011902161277415217,NA,157.856995,0.02,Index,1,1,0.01,7,0,3.5,NA,NA,NA,NA,755.76,NA
2021-03-05,29470.692857142858,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.011872964168857365,NA,157.856995,0.02,Index,1,1,0.01,7,0,3.5,NA,NA,NA,NA,755.76,NA
2021-03-06,29542.898571428574,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.01184390995627531,NA,157.856995,0.02,Index,1,1,0.01,7,0,3.5,NA,NA,NA,NA,755.76,NA
2021-03-07,29615.104285714286,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.01181499759320758,NA,157.856995,0.02,Index,1,1,0.01,7,0,3.5,NA,NA,NA,NA,755.76,NA
2021-03-08,29687.31,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.01178622604333782,NA,157.856995,0.02,Index,1,1,0.01,7,0,3.5,NA,NA,NA,NA,755.76,NA
2021-03-09,29656.078571428574,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.005094421868392658,NA,157.856995,0.02,Index,1,1,0.01,7,0,3.5,NA,NA,NA,NA,755.76,NA
2021-03-10,29624.847142857143,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0050997897367414426,NA,157.856995,0.02,Index,1,1,0.01,7,0,3.5,NA,NA,NA,NA,755.76,NA
2021-03-11,29593.615714285716,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.005105168928988845,NA,157.856995,0.02,Index,1,1,0.01,7,0,3.5,NA,NA,NA,NA,755.76,NA
2021-03-12,29562.384285714284,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.005110559481038308,NA,157.856995,0.02,Index,1,1,0.01,7,0,3.5,NA,NA,NA,NA,755.76,NA
2021-03-13,29531.152857142857,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.005115961428887843,NA,157.856995,0.02,Index,1,1,0.01,7,0,3.5,NA,NA,NA,NA,755.76,NA
2021-03-14,29499.921428571426,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.005121374808733208,NA,157.856995,0.02,Index,1,1,0.01,7,0,3.5,NA,NA,NA,NA,755.76,NA
2021-03-15,29468.69,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.005126799656881929,NA,157.856995,0.02,Index,1,1,0.01,7,0,3.5,NA,NA,NA,NA,755.76,NA
2021-03-16,29488.554285714286,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.003261453199175932,NA,157.856995,0.02,Index,1,1,0.01,7,0,3.5,NA,NA,NA,NA,755.76,NA
2021-03-17,29508.41857142857,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.00325925693588033,NA,157.856995,0.02,Index,1,1,0.01,7,0,3.5,NA,NA,NA,NA,755.76,NA
2021-03-18,29528.282857142858,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0032570636285228715,NA,157.856995,0.02,Index,1,1,0.01,7,0,3.5,NA,NA,NA,NA,755.76,NA
2021-03-19,29548.147142857142,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0032548732711368445,NA,157.856995,0.02,Index,1,1,0.01,7,0,3.5,NA,NA,NA,NA,755.76,NA
2021-03-20,29568.01142857143,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.003252685857772732,NA,157.856995,0.02,Index,1,1,0.01,7,0,3.5,NA,NA,NA,NA,755.76,NA
2021-03-21,29587.875714285714,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0032505013825154094,NA,157.856995,0.02,Index,1,1,0.01,7,0,3.5,NA,NA,NA,NA,755.76,NA
2021-03-22,29607.74,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0032483198394239565,NA,157.856995,0.02,Index,1,1,0.01,7,0,3.5,NA,NA,NA,NA,755.76,NA
2021-03-23,29670.16142857143,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.010193337438600451,NA,157.856995,0.02,Index,1,1,0.01,7,0,3.5,NA,NA,NA,NA,755.76,NA
2021-03-24,29732.582857142857,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.010171914753114351,NA,157.856995,0.02,Index,1,1,0.01,7,0,3.5,NA,NA,NA,NA,755.76,NA
2021-03-25,29795.004285714287,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.010150581924198078,NA,157.856995,0.02,Index,1,1,0.01,7,0,3.5,NA,NA,NA,NA,755.76,NA
2021-03-26,29857.425714285713,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.010129338387679283,NA,157.856995,0.02,Index,1,1,0.01,7,0,3.5,NA,NA,NA,NA,755.76,NA
