Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Decimals,Spread,Commission,CostPerTrade,multiple_EMA,multiple_DC,multiple_KF,multiple_TII,InstCapital,Exposure
2021-02-15,30168.73,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,157.878006,0.016666666666666666,Index,1,1,0.01,2,7,0,3.5,NA,NA,NA,NA,857.5,NA
2021-02-16,30036.57857142857,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.021247758933597538,NA,157.878006,0.016666666666666666,Index,1,1,0.01,2,7,0,3.5,NA,NA,NA,NA,857.5,NA
2021-02-17,29904.42714285714,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.021341448745527812,NA,157.878006,0.016666666666666666,Index,1,1,0.01,2,7,0,3.5,NA,NA,NA,NA,857.5,NA
2021-02-18,29772.27571428571,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.02143596844934116,NA,157.878006,0.016666666666666666,Index,1,1,0.01,2,7,0,3.5,NA,NA,NA,NA,857.5,NA
2021-02-19,29640.124285714286,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.021531329120733033,NA,157.878006,0.016666666666666666,Index,1,1,0.01,2,7,0,3.5,NA,NA,NA,NA,857.5,NA
2021-02-20,29507.972857142857,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.021627542033332076,NA,157.878006,0.016666666666666666,Index,1,1,0.01,2,7,0,3.5,NA,NA,NA,NA,857.5,NA
2021-02-21,29375.821428571428,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.021724618663213846,NA,157.878006,0.016666666666666666,Index,1,1,0.01,2,7,0,3.5,NA,NA,NA,NA,857.5,NA
2021-02-22,29243.67,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.02182257069339734,NA,157.878006,0.016666666666666666,Index,1,1,0.01,2,7,0,3.5,NA,NA,NA,NA,857.5,NA
2021-02-23,29234.841428571428,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0014614012906619678,NA,157.878006,0.016666666666666666,Index,1,1,0.01,2,7,0,3.5,NA,NA,NA,NA,857.5,NA
2021-02-24,29226.012857142854,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0014618426829821373,NA,157.878006,0.016666666666666666,Index,1,1,0.01,2,7,0,3.5,NA,NA,NA,NA,857.5,NA
2021-02-25,29217.184285714284,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0014622843419988384,NA,157.878006,0.016666666666666666,Index,1,1,0.01,2,7,0,3.5,NA,NA,NA,NA,857.5,NA
2021-02-26,29208.355714285713,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0014627262679871933,NA,157.878006,0.016666666666666666,Index,1,1,0.01,2,7,0,3.5,NA,NA,NA,NA,857.5,NA
2021-02-27,29199.527142857143,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0014631684611535432,NA,157.878006,0.016666666666666666,Index,1,1,0.01,2,7,0,3.5,NA,NA,NA,NA,857.5,NA
2021-02-28,29190.69857142857,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0014636109217644132,NA,157.878006,0.016666666666666666,Index,1,1,0.01,2,7,0,3.5,NA,NA,NA,NA,857.5,NA
2021-03-01,29181.87,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.001464053650060535,NA,157.878006,0.016666666666666666,Index,1,1,0.01,2,7,0,3.5,NA,NA,NA,NA,857.5,NA
2021-03-02,29254.075714285715,ny,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.01196098842010457,NA,157.878006,0.016666666666666666,Index,1,1,0.01,2,7,0,3.5,NA,NA,NA,NA,857.5,NA
