Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,CostPerTrade,multiple_EMA,multiple_DC,multiple_KF,multiple_TII,InstCapital,Exposure
2021-02-15,89.073,ct,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,1.09505,0.05555555555555555,Future,0.01,600,0.01,0.15,0,0.075,NA,NA,NA,NA,1749.3333333333333,NA
2021-02-16,88.868,ct,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.011152015993719075,NA,1.09505,0.05555555555555555,Future,0.01,600,0.01,0.15,0,0.075,NA,NA,NA,NA,1749.3333333333333,NA
2021-02-17,88.663,ct,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.011177771104752878,NA,1.09505,0.05555555555555555,Future,0.01,600,0.01,0.15,0,0.075,NA,NA,NA,NA,1749.3333333333333,NA
2021-02-18,88.458,ct,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.01120364545190263,NA,1.09505,0.05555555555555555,Future,0.01,600,0.01,0.15,0,0.075,NA,NA,NA,NA,1749.3333333333333,NA
2021-02-19,88.253,ct,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.011229639865104382,NA,1.09505,0.05555555555555555,Future,0.01,600,0.01,0.15,0,0.075,NA,NA,NA,NA,1749.3333333333333,NA
2021-02-20,88.048,ct,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.01125575518203199,NA,1.09505,0.05555555555555555,Future,0.01,600,0.01,0.15,0,0.075,NA,NA,NA,NA,1749.3333333333333,NA
2021-02-21,87.843,ct,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.011281992248165906,NA,1.09505,0.05555555555555555,Future,0.01,600,0.01,0.15,0,0.075,NA,NA,NA,NA,1749.3333333333333,NA
2021-02-22,87.638,ct,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.011308351916879147,NA,1.09505,0.05555555555555555,Future,0.01,600,0.01,0.15,0,0.075,NA,NA,NA,NA,1749.3333333333333,NA
2021-02-23,87.4677142857143,ct,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.009413549070246283,NA,1.09505,0.05555555555555555,Future,0.01,600,0.01,0.15,0,0.075,NA,NA,NA,NA,1749.3333333333333,NA
2021-02-24,87.29742857142857,ct,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.009431893620131575,NA,1.09505,0.05555555555555555,Future,0.01,600,0.01,0.15,0,0.075,NA,NA,NA,NA,1749.3333333333333,NA
2021-02-25,87.12714285714286,ct,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.00945030980712545,NA,1.09505,0.05555555555555555,Future,0.01,600,0.01,0.15,0,0.075,NA,NA,NA,NA,1749.3333333333333,NA
2021-02-26,86.95685714285715,ct,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.009468798051666134,NA,1.09505,0.05555555555555555,Future,0.01,600,0.01,0.15,0,0.075,NA,NA,NA,NA,1749.3333333333333,NA
2021-02-27,86.78657142857143,ct,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.00948735877749332,NA,1.09505,0.05555555555555555,Future,0.01,600,0.01,0.15,0,0.075,NA,NA,NA,NA,1749.3333333333333,NA
2021-02-28,86.61628571428571,ct,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.009505992411686854,NA,1.09505,0.05555555555555555,Future,0.01,600,0.01,0.15,0,0.075,NA,NA,NA,NA,1749.3333333333333,NA
2021-03-01,86.446,ct,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.009524699384666739,NA,1.09505,0.05555555555555555,Future,0.01,600,0.01,0.15,0,0.075,NA,NA,NA,NA,1749.3333333333333,NA
2021-03-02,86.48528571428571,ct,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0021990568060440904,NA,1.09505,0.05555555555555555,Future,0.01,600,0.01,0.15,0,0.075,NA,NA,NA,NA,1749.3333333333333,NA
2021-03-03,86.52457142857143,ct,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.002198058117047097,NA,1.09505,0.05555555555555555,Future,0.01,600,0.01,0.15,0,0.075,NA,NA,NA,NA,1749.3333333333333,NA
2021-03-04,86.56385714285715,ct,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0021970603347323345,NA,1.09505,0.05555555555555555,Future,0.01,600,0.01,0.15,0,0.075,NA,NA,NA,NA,1749.3333333333333,NA
2021-03-05,86.60314285714286,ct,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.002196063457874651,NA,1.09505,0.05555555555555555,Future,0.01,600,0.01,0.15,0,0.075,NA,NA,NA,NA,1749.3333333333333,NA
