Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,CostPerTrade,multiple_EMA,multiple_DC,multiple_KF,multiple_TII,InstCapital,Exposure
2021-02-15,491.8,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-02-16,487.81714285714287,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.03935646682055403,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-02-17,483.8342857142857,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.03967911942852407,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-02-18,479.8514285714286,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.04000710614489652,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-02-19,475.86857142857144,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.04034056034855307,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-02-20,471.8857142857143,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.04067961990261281,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-02-21,467.90285714285716,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.04102442734449429,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-02-22,463.92,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.04137513008567573,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-02-23,464.92285714285714,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.010451349052575623,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-02-24,465.9257142857143,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.010428829346380652,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-02-25,466.92857142857144,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.01040640647878817,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-02-26,467.93142857142857,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.010384079826483159,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-02-27,468.9342857142857,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.010361848771532678,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-02-28,469.9371428571429,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.010339712701248302,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-03-01,470.94,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.010317671008177527,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-03-02,470.16285714285715,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.007993541311657956,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-03-03,469.3857142857143,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.008006764952355673,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-03-04,468.60857142857145,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.00802003241705819,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-03-05,467.83142857142855,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.008033343923967458,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-03-06,467.0542857142857,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.008046699692759915,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-03-07,466.27714285714285,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.00806009994456069,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-03-08,465.5,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.00807354490197369,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-03-09,464.5257142857143,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.010140675703321698,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-03-10,463.5514285714286,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.010161966870327851,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-03-11,462.57714285714286,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.010183347630521667,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-03-12,461.60285714285715,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.010204818550611776,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-03-13,460.62857142857143,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.010226380202082766,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-03-14,459.6542857142857,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.010248033161281143,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-03-15,458.68,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.010269778009419639,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-03-16,456.14,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.026876613083365333,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-03-17,453.6,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0270266932183943,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-03-18,451.06,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.02717845887740687,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-03-19,448.52,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.02733193861556714,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-03-20,445.97999999999996,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.02748716163672565,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-03-21,443.44,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.027644157811947137,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-03-22,440.9,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.027802957698661607,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-03-23,439.3671428571428,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.016856328514785055,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-03-24,437.8342857142857,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.016915239490610218,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-03-25,436.3014285714286,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.016974563685499683,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-03-26,434.7685714285714,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.01703430546242643,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-03-27,433.23571428571427,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.017094469245999413,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-03-28,431.70285714285717,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.01715505952355542,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-03-29,430.17,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.01721608084628109,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-03-30,431.9742857142857,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.020258223016719156,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-03-31,433.77857142857147,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.020173783841854948,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-04-01,435.58285714285716,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0200900456553353,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-04-02,437.38714285714286,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.020006999764138625,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-04-03,439.19142857142856,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.019924637618384224,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-04-04,440.9957142857143,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.019842950808430616,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-04-05,442.8,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.01976193106195236,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-04-06,446.95714285714286,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.045227437622532986,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-04-07,451.1142857142857,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.04480871899575252,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-04-08,455.27142857142854,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0443976823528379,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-04-09,459.42857142857144,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.043994118208736166,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-04-10,463.5857142857143,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.04359782462660263,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-04-11,467.74285714285713,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.04320860688089656,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-04-12,471.9,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.04282627713828251,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-04-13,471.79285714285714,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.001099025868159842,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-04-14,471.68571428571425,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0010992754822540718,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-04-15,471.5785714285714,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,-0.4686094138290796,NA,NA,-0.0010995252097545105,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-04-16,471.47142857142853,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,-0.8811716306957432,NA,NA,-0.001099775050742835,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-04-17,471.3642857142857,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,-1.2425293563666333,NA,NA,-0.0011000250053050209,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-04-18,471.2571428571428,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,-1.5682730163468563,NA,NA,-0.00110027507350555,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-04-19,471.15,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,-1.8745143936958044,NA,NA,-0.001100525255430398,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-04-20,469.28142857142853,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,-2.2039042728558527,NA,NA,-0.019233507815613605,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-04-21,467.41285714285715,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,-2.567828373693778,NA,NA,-0.019310244225514202,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
2021-04-22,465.5442857142857,sw,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,-2.979631607369661,NA,NA,-0.019387595403367184,NA,1.050862,0.02,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,739.6800000000001,NA
