Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,CostPerTrade,multiple_EMA,multiple_DC,multiple_KF,multiple_TII,InstCapital,Exposure
2021-02-15,135.6,zn,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,1.09505,0,Future,1,0.01,0.01,0.03,0,0.015,NA,NA,NA,NA,0,NA
2021-02-16,135.41671428571428,zn,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.006546481789692038,NA,1.09505,0,Future,1,0.01,0.01,0.03,0,0.015,NA,NA,NA,NA,0,NA
2021-02-17,135.23342857142856,zn,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.006555348416879134,NA,1.09505,0,Future,1,0.01,0.01,0.03,0,0.015,NA,NA,NA,NA,0,NA
2021-02-18,135.05014285714284,zn,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.006564239094758583,NA,1.09505,0,Future,1,0.01,0.01,0.03,0,0.015,NA,NA,NA,NA,0,NA
2021-02-19,134.86685714285716,zn,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.006573153921325456,NA,1.09505,0,Future,1,0.01,0.01,0.03,0,0.015,NA,NA,NA,NA,0,NA
2021-02-20,134.68357142857144,zn,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.006582092995094975,NA,1.09505,0,Future,1,0.01,0.01,0.03,0,0.015,NA,NA,NA,NA,0,NA
2021-02-21,134.50028571428572,zn,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.006591056415124008,NA,1.09505,0,Future,1,0.01,0.01,0.03,0,0.015,NA,NA,NA,NA,0,NA
2021-02-22,134.317,zn,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.00660004428101967,NA,1.09505,0,Future,1,0.01,0.01,0.03,0,0.015,NA,NA,NA,NA,0,NA
2021-02-23,134.17414285714287,zn,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.005150476319773176,NA,1.09505,0,Future,1,0.01,0.01,0.03,0,0.015,NA,NA,NA,NA,0,NA
2021-02-24,134.03128571428573,zn,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.005155963028031927,NA,1.09505,0,Future,1,0.01,0.01,0.03,0,0.015,NA,NA,NA,NA,0,NA
2021-02-25,133.8884285714286,zn,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0051614614385424315,NA,1.09505,0,Future,1,0.01,0.01,0.03,0,0.015,NA,NA,NA,NA,0,NA
2021-02-26,133.74557142857142,zn,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.005166971588781486,NA,1.09505,0,Future,1,0.01,0.01,0.03,0,0.015,NA,NA,NA,NA,0,NA
2021-02-27,133.60271428571428,zn,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.005172493516376342,NA,1.09505,0,Future,1,0.01,0.01,0.03,0,0.015,NA,NA,NA,NA,0,NA
2021-02-28,133.45985714285715,zn,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0051780272591433986,NA,1.09505,0,Future,1,0.01,0.01,0.03,0,0.015,NA,NA,NA,NA,0,NA
