Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Decimals,Spread,Commission,CostPerTrade,multiple_EMA,multiple_DC,multiple_KF,multiple_TII,InstCapital,Exposure
2021-02-22,1056.88,chf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0.95933,0.016666666666666666,Cash,1,0.01,0.01,2,0.3,0,0.15,NA,NA,NA,NA,857.5,NA
2021-02-23,1054.4885714285715,chf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.01096399689938064,NA,0.95933,0.016666666666666666,Cash,1,0.01,0.01,2,0.3,0,0.15,NA,NA,NA,NA,857.5,NA
2021-02-24,1052.097142857143,chf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.010988889917276623,NA,0.95933,0.016666666666666666,Cash,1,0.01,0.01,2,0.3,0,0.15,NA,NA,NA,NA,857.5,NA
2021-02-25,1049.7057142857143,chf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.011013896228297675,NA,0.95933,0.016666666666666666,Cash,1,0.01,0.01,2,0.3,0,0.15,NA,NA,NA,NA,857.5,NA
2021-02-26,1047.314285714286,chf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.011039016607626238,NA,0.95933,0.016666666666666666,Cash,1,0.01,0.01,2,0.3,0,0.15,NA,NA,NA,NA,857.5,NA
2021-02-27,1044.9228571428573,chf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.011064251837554941,NA,0.95933,0.016666666666666666,Cash,1,0.01,0.01,2,0.3,0,0.15,NA,NA,NA,NA,857.5,NA
2021-02-28,1042.5314285714287,chf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.011089602707529593,NA,0.95933,0.016666666666666666,Cash,1,0.01,0.01,2,0.3,0,0.15,NA,NA,NA,NA,857.5,NA
2021-03-01,1040.14,chf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.011115070014260943,NA,0.95933,0.016666666666666666,Cash,1,0.01,0.01,2,0.3,0,0.15,NA,NA,NA,NA,857.5,NA
2021-03-02,1039.9,chf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0011169016030066104,NA,0.95933,0.016666666666666666,Cash,1,0.01,0.01,2,0.3,0,0.15,NA,NA,NA,NA,857.5,NA
2021-03-03,1039.66,chf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0011171594040610344,NA,0.95933,0.016666666666666666,Cash,1,0.01,0.01,2,0.3,0,0.15,NA,NA,NA,NA,857.5,NA
2021-03-04,1039.42,chf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0011174173241616714,NA,0.95933,0.016666666666666666,Cash,1,0.01,0.01,2,0.3,0,0.15,NA,NA,NA,NA,857.5,NA
2021-03-05,1039.18,chf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0011176753633816005,NA,0.95933,0.016666666666666666,Cash,1,0.01,0.01,2,0.3,0,0.15,NA,NA,NA,NA,857.5,NA
2021-03-06,1038.94,chf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0011179335218024988,NA,0.95933,0.016666666666666666,Cash,1,0.01,0.01,2,0.3,0,0.15,NA,NA,NA,NA,857.5,NA
2021-03-07,1038.7,chf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0011181917995103418,NA,0.95933,0.016666666666666666,Cash,1,0.01,0.01,2,0.3,0,0.15,NA,NA,NA,NA,857.5,NA
2021-03-08,1038.46,chf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0011184501965868065,NA,0.95933,0.016666666666666666,Cash,1,0.01,0.01,2,0.3,0,0.15,NA,NA,NA,NA,857.5,NA
2021-03-09,1038.88,chf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.001957118264416167,NA,0.95933,0.016666666666666666,Cash,1,0.01,0.01,2,0.3,0,0.15,NA,NA,NA,NA,857.5,NA
2021-03-10,1039.3,chf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0019563271975211903,NA,0.95933,0.016666666666666666,Cash,1,0.01,0.01,2,0.3,0,0.15,NA,NA,NA,NA,857.5,NA
2021-03-11,1039.72,chf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0019555367698768224,NA,0.95933,0.016666666666666666,Cash,1,0.01,0.01,2,0.3,0,0.15,NA,NA,NA,NA,857.5,NA
2021-03-12,1040.14,chf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0019547469806963846,NA,0.95933,0.016666666666666666,Cash,1,0.01,0.01,2,0.3,0,0.15,NA,NA,NA,NA,857.5,NA
2021-03-13,1040.5600000000002,chf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.001953957829197499,NA,0.95933,0.016666666666666666,Cash,1,0.01,0.01,2,0.3,0,0.15,NA,NA,NA,NA,857.5,NA
2021-03-14,1040.98,chf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.001953169314632177,NA,0.95933,0.016666666666666666,Cash,1,0.01,0.01,2,0.3,0,0.15,NA,NA,NA,NA,857.5,NA
2021-03-15,1041.4,chf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0019523814362051438,NA,0.95933,0.016666666666666666,Cash,1,0.01,0.01,2,0.3,0,0.15,NA,NA,NA,NA,857.5,NA
2021-03-16,1040.7050000000002,chf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0032311532078644232,NA,0.95933,0.016666666666666666,Cash,1,0.01,0.01,2,0.3,0,0.15,NA,NA,NA,NA,857.5,NA
2021-03-17,1040.01,chf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0032333117462994207,NA,0.95933,0.016666666666666666,Cash,1,0.01,0.01,2,0.3,0,0.15,NA,NA,NA,NA,857.5,NA
2021-03-18,1039.315,chf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.00323547317063678,NA,0.95933,0.016666666666666666,Cash,1,0.01,0.01,2,0.3,0,0.15,NA,NA,NA,NA,857.5,NA
2021-03-19,1038.6200000000001,chf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.003237637486671261,NA,0.95933,0.016666666666666666,Cash,1,0.01,0.01,2,0.3,0,0.15,NA,NA,NA,NA,857.5,NA
2021-03-20,1037.9250000000002,chf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.00323980470021052,NA,0.95933,0.016666666666666666,Cash,1,0.01,0.01,2,0.3,0,0.15,NA,NA,NA,NA,857.5,NA
2021-03-21,1037.23,chf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.003241974817083708,NA,0.95933,0.016666666666666666,Cash,1,0.01,0.01,2,0.3,0,0.15,NA,NA,NA,NA,857.5,NA
2021-03-22,1036.535,chf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.003244147843115677,NA,0.95933,0.016666666666666666,Cash,1,0.01,0.01,2,0.3,0,0.15,NA,NA,NA,NA,857.5,NA
2021-03-23,1036.3042857142857,chf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0010774179697993702,NA,0.95933,0.016666666666666666,Cash,1,0.01,0.01,2,0.3,0,0.15,NA,NA,NA,NA,857.5,NA
2021-03-24,1036.0735714285715,chf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0010776578640043866,NA,0.95933,0.016666666666666666,Cash,1,0.01,0.01,2,0.3,0,0.15,NA,NA,NA,NA,857.5,NA
2021-03-25,1035.8428571428572,chf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0010778978650642656,NA,0.95933,0.016666666666666666,Cash,1,0.01,0.01,2,0.3,0,0.15,NA,NA,NA,NA,857.5,NA
2021-03-26,1035.612142857143,chf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0010781379730391905,NA,0.95933,0.016666666666666666,Cash,1,0.01,0.01,2,0.3,0,0.15,NA,NA,NA,NA,857.5,NA
2021-03-27,1035.3814285714286,chf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0010783781880194354,NA,0.95933,0.016666666666666666,Cash,1,0.01,0.01,2,0.3,0,0.15,NA,NA,NA,NA,857.5,NA
2021-03-28,1035.1507142857145,chf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0010786185100565859,NA,0.95933,0.016666666666666666,Cash,1,0.01,0.01,2,0.3,0,0.15,NA,NA,NA,NA,857.5,NA
2021-03-29,1034.92,chf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0010788589392409164,NA,0.95933,0.016666666666666666,Cash,1,0.01,0.01,2,0.3,0,0.15,NA,NA,NA,NA,857.5,NA
2021-03-30,1037.1271428571429,chf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.010311131680304904,NA,0.95933,0.016666666666666666,Cash,1,0.01,0.01,2,0.3,0,0.15,NA,NA,NA,NA,857.5,NA
2021-03-31,1039.3342857142857,chf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.010289211544938226,NA,0.95933,0.016666666666666666,Cash,1,0.01,0.01,2,0.3,0,0.15,NA,NA,NA,NA,857.5,NA
