Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,CostPerTrade,multiple_EMA,multiple_DC,multiple_KF,multiple_TII,InstCapital,Exposure
2021-02-15,513.39,lf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,1.050862,0.025,Future,1,1,0.01,0.5,0,0.25,NA,NA,NA,NA,924.6,NA
2021-02-16,514.9342857142857,lf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.014536948275614775,NA,1.050862,0.025,Future,1,1,0.01,0.5,0,0.25,NA,NA,NA,NA,924.6,NA
2021-02-17,516.4785714285714,lf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.014493417239526919,NA,1.050862,0.025,Future,1,1,0.01,0.5,0,0.25,NA,NA,NA,NA,924.6,NA
2021-02-18,518.0228571428571,lf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.014450146133509029,NA,1.050862,0.025,Future,1,1,0.01,0.5,0,0.25,NA,NA,NA,NA,924.6,NA
2021-02-19,519.5671428571429,lf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.014407132636377043,NA,1.050862,0.025,Future,1,1,0.01,0.5,0,0.25,NA,NA,NA,NA,924.6,NA
2021-02-20,521.1114285714286,lf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.014364374454484902,NA,1.050862,0.025,Future,1,1,0.01,0.5,0,0.25,NA,NA,NA,NA,924.6,NA
2021-02-21,522.6557142857143,lf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.01432186932134627,NA,1.050862,0.025,Future,1,1,0.01,0.5,0,0.25,NA,NA,NA,NA,924.6,NA
2021-02-22,524.2,lf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.014279614997226133,NA,1.050862,0.025,Future,1,1,0.01,0.5,0,0.25,NA,NA,NA,NA,924.6,NA
2021-02-23,528.2335714285715,lf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.03709988322923003,NA,1.050862,0.025,Future,1,1,0.01,0.5,0,0.25,NA,NA,NA,NA,924.6,NA
2021-02-24,532.2671428571429,lf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0368176646965356,NA,1.050862,0.025,Future,1,1,0.01,0.5,0,0.25,NA,NA,NA,NA,924.6,NA
2021-02-25,536.3007142857143,lf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.03653970743727335,NA,1.050862,0.025,Future,1,1,0.01,0.5,0,0.25,NA,NA,NA,NA,924.6,NA
2021-02-26,540.3342857142857,lf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.036265915661443056,NA,1.050862,0.025,Future,1,1,0.01,0.5,0,0.25,NA,NA,NA,NA,924.6,NA
2021-02-27,544.3678571428571,lf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.03599619642877261,NA,1.050862,0.025,Future,1,1,0.01,0.5,0,0.25,NA,NA,NA,NA,924.6,NA
2021-02-28,548.4014285714285,lf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.03573045954347087,NA,1.050862,0.025,Future,1,1,0.01,0.5,0,0.25,NA,NA,NA,NA,924.6,NA
2021-03-01,552.44,lf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.03551242331411604,NA,1.050862,0.025,Future,1,1,0.01,0.5,0,0.25,NA,NA,NA,NA,924.6,NA
2021-03-02,551.9100000000001,lf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.004645629007001659,NA,1.050862,0.025,Future,1,1,0.01,0.5,0,0.25,NA,NA,NA,NA,924.6,NA
2021-03-03,551.38,lf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.004650092355265194,NA,1.050862,0.025,Future,1,1,0.01,0.5,0,0.25,NA,NA,NA,NA,924.6,NA
2021-03-04,550.85,lf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.004654564288216676,NA,1.050862,0.025,Future,1,1,0.01,0.5,0,0.25,NA,NA,NA,NA,924.6,NA
2021-03-05,550.32,lf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.00465904483064719,NA,1.050862,0.025,Future,1,1,0.01,0.5,0,0.25,NA,NA,NA,NA,924.6,NA
2021-03-06,549.7900000000001,lf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.004663534007438095,NA,1.050862,0.025,Future,1,1,0.01,0.5,0,0.25,NA,NA,NA,NA,924.6,NA
2021-03-07,549.26,lf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.004668031843586817,NA,1.050862,0.025,Future,1,1,0.01,0.5,0,0.25,NA,NA,NA,NA,924.6,NA
