Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,CostPerTrade,multiple_EMA,multiple_DC,multiple_KF,multiple_TII,InstCapital,Exposure
2021-02-15,2371.24,pa,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,1.060445,0.02,Future,1,0.6,0.01,1.49,0,0.745,NA,NA,NA,NA,755.76,NA
2021-02-16,2359.83,pa,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.023345461838022104,NA,1.060445,0.02,Future,1,0.6,0.01,1.49,0,0.745,NA,NA,NA,NA,755.76,NA
2021-02-17,2348.4199999999996,pa,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.02345861333167459,NA,1.060445,0.02,Future,1,0.6,0.01,1.49,0,0.745,NA,NA,NA,NA,755.76,NA
2021-02-18,2337.0099999999998,pa,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.023572867021835826,NA,1.060445,0.02,Future,1,0.6,0.01,1.49,0,0.745,NA,NA,NA,NA,755.76,NA
2021-02-19,2325.6,pa,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.023688239091947096,NA,1.060445,0.02,Future,1,0.6,0.01,1.49,0,0.745,NA,NA,NA,NA,755.76,NA
2021-02-20,2314.19,pa,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.023804746043796107,NA,1.060445,0.02,Future,1,0.6,0.01,1.49,0,0.745,NA,NA,NA,NA,755.76,NA
2021-02-21,2302.7799999999997,pa,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.023922404705448236,NA,1.060445,0.02,Future,1,0.6,0.01,1.49,0,0.745,NA,NA,NA,NA,755.76,NA
2021-02-22,2291.37,pa,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.02404123223931105,NA,1.060445,0.02,Future,1,0.6,0.01,1.49,0,0.745,NA,NA,NA,NA,755.76,NA
2021-02-23,2294.4714285714285,pa,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0065466356864397925,NA,1.060445,0.02,Future,1,0.6,0.01,1.49,0,0.745,NA,NA,NA,NA,755.76,NA
2021-02-24,2297.572857142857,pa,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.006537792597009897,NA,1.060445,0.02,Future,1,0.6,0.01,1.49,0,0.745,NA,NA,NA,NA,755.76,NA
2021-02-25,2300.674285714286,pa,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.006528973365562187,NA,1.060445,0.02,Future,1,0.6,0.01,1.49,0,0.745,NA,NA,NA,NA,755.76,NA
2021-02-26,2303.775714285714,pa,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.006520177895670649,NA,1.060445,0.02,Future,1,0.6,0.01,1.49,0,0.745,NA,NA,NA,NA,755.76,NA
2021-02-27,2306.8771428571426,pa,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.006511406091438019,NA,1.060445,0.02,Future,1,0.6,0.01,1.49,0,0.745,NA,NA,NA,NA,755.76,NA
2021-02-28,2309.9785714285713,pa,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.006502657857482887,NA,1.060445,0.02,Future,1,0.6,0.01,1.49,0,0.745,NA,NA,NA,NA,755.76,NA
