Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,CostPerTrade,multiple_EMA,multiple_DC,multiple_KF,multiple_TII,InstCapital,Exposure
2021-02-15,1336.2,rm,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,1.058985,0.016666666666666666,Future,1,0.3,1e-4,3,0,1.5,NA,NA,NA,NA,840,NA
2021-02-16,1350.5142857142857,rm,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.05157362564608132,NA,1.058985,0.016666666666666666,Future,1,0.3,1e-4,3,0,1.5,NA,NA,NA,NA,840,NA
2021-02-17,1364.8285714285714,rm,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.05102986126564452,NA,1.058985,0.016666666666666666,Future,1,0.3,1e-4,3,0,1.5,NA,NA,NA,NA,840,NA
2021-02-18,1379.142857142857,rm,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.050497443669213236,NA,1.058985,0.016666666666666666,Future,1,0.3,1e-4,3,0,1.5,NA,NA,NA,NA,840,NA
2021-02-19,1393.457142857143,rm,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.04997602135933068,NA,1.058985,0.016666666666666666,Future,1,0.3,1e-4,3,0,1.5,NA,NA,NA,NA,840,NA
2021-02-20,1407.7714285714287,rm,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.049465257208401954,NA,1.058985,0.016666666666666666,Future,1,0.3,1e-4,3,0,1.5,NA,NA,NA,NA,840,NA
2021-02-21,1422.0857142857144,rm,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.04896482773179127,NA,1.058985,0.016666666666666666,Future,1,0.3,1e-4,3,0,1.5,NA,NA,NA,NA,840,NA
2021-02-22,1436.4,rm,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.04847442240460331,NA,1.058985,0.016666666666666666,Future,1,0.3,1e-4,3,0,1.5,NA,NA,NA,NA,840,NA
2021-02-23,1423.9285714285716,rm,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.04220640761437945,NA,1.058985,0.016666666666666666,Future,1,0.3,1e-4,3,0,1.5,NA,NA,NA,NA,840,NA
2021-02-24,1411.4571428571428,rm,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.042577701688948824,NA,1.058985,0.016666666666666666,Future,1,0.3,1e-4,3,0,1.5,NA,NA,NA,NA,840,NA
