Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,CostPerTrade,multiple_EMA,multiple_DC,multiple_KF,multiple_TII,InstCapital,Exposure
2021-02-15,423.42,zm,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,1.061909,0,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,0,NA
2021-02-16,423.24857142857144,zm,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0019599506230685293,NA,1.061909,0,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,0,NA
2021-02-17,423.07714285714286,zm,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.001960744623629651,NA,1.061909,0,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,0,NA
2021-02-18,422.9057142857143,zm,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.001961539267765957,NA,1.061909,0,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,0,NA
2021-02-19,422.73428571428576,zm,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0019623345562641246,NA,1.061909,0,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,0,NA
2021-02-20,422.5628571428572,zm,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0019631304899108315,NA,1.061909,0,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,0,NA
2021-02-21,422.3914285714286,zm,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0019639270694927547,NA,1.061909,0,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,0,NA
2021-02-22,422.22,zm,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.001964724295787974,NA,1.061909,0,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,0,NA
2021-02-23,421.8057142857143,zm,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0047513789787125655,NA,1.061909,0,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,0,NA
2021-02-24,421.3914285714286,zm,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.004756047943184036,NA,1.061909,0,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,0,NA
2021-02-25,420.9771428571429,zm,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.004760726092638485,NA,1.061909,0,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,0,NA
2021-02-26,420.5628571428571,zm,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.004765413454209834,NA,1.061909,0,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,0,NA
2021-02-27,420.1485714285714,zm,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.004770110055135177,NA,1.061909,0,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,0,NA
2021-02-28,419.7342857142857,zm,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.004774815922754776,NA,1.061909,0,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,0,NA
2021-03-01,419.32,zm,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.00477953108452926,NA,1.061909,0,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,0,NA
2021-03-02,416.62857142857143,zm,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.03116593470386025,NA,1.061909,0,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,0,NA
2021-03-03,413.9371428571429,zm,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.031367921063268335,NA,1.061909,0,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,0,NA
2021-03-04,411.2457142857143,zm,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.031572542657273175,NA,1.061909,0,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,0,NA
2021-03-05,408.5542857142857,zm,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.03177985139595591,NA,1.061909,0,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,0,NA
2021-03-06,405.86285714285714,zm,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.031989900561810135,NA,1.061909,0,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,0,NA
2021-03-07,403.1714285714286,zm,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.032202744855390646,NA,1.061909,0,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,0,NA
2021-03-08,400.48,zm,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.03241844044283223,NA,1.061909,0,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,0,NA
2021-03-09,401.58000000000004,zm,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.013275823100566377,NA,1.061909,0,Future,1,2,0.001,0.7,0,0.35,NA,NA,NA,NA,0,NA
