Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,CostPerTrade,multiple_EMA,multiple_DC,multiple_KF,multiple_TII,InstCapital,Exposure
2021-02-15,405.81,hg,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,1.09505,0.05555555555555555,Future,0.01,200,0.1,0.2,0,0.1,NA,NA,NA,NA,1749.3333333333333,NA
2021-02-16,406.28714285714284,hg,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.005687427211441047,NA,1.09505,0.05555555555555555,Future,0.01,200,0.1,0.2,0,0.1,NA,NA,NA,NA,1749.3333333333333,NA
2021-02-17,406.76428571428573,hg,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.005680751825856767,NA,1.09505,0.05555555555555555,Future,0.01,200,0.1,0.2,0,0.1,NA,NA,NA,NA,1749.3333333333333,NA
2021-02-18,407.24142857142857,hg,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0056740920918252865,NA,1.09505,0.05555555555555555,Future,0.01,200,0.1,0.2,0,0.1,NA,NA,NA,NA,1749.3333333333333,NA
2021-02-19,407.7185714285714,hg,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.005667447954365166,NA,1.09505,0.05555555555555555,Future,0.01,200,0.1,0.2,0,0.1,NA,NA,NA,NA,1749.3333333333333,NA
2021-02-20,408.19571428571425,hg,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.005660819358757187,NA,1.09505,0.05555555555555555,Future,0.01,200,0.1,0.2,0,0.1,NA,NA,NA,NA,1749.3333333333333,NA
2021-02-21,408.67285714285714,hg,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.005654206250527167,NA,1.09505,0.05555555555555555,Future,0.01,200,0.1,0.2,0,0.1,NA,NA,NA,NA,1749.3333333333333,NA
2021-02-22,409.15,hg,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.005647608575454548,NA,1.09505,0.05555555555555555,Future,0.01,200,0.1,0.2,0,0.1,NA,NA,NA,NA,1749.3333333333333,NA
2021-02-23,409.1657142857143,hg,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,1.8588703977606257e-4,NA,1.09505,0.05555555555555555,Future,0.01,200,0.1,0.2,0,0.1,NA,NA,NA,NA,1749.3333333333333,NA
2021-02-24,409.18142857142857,hg,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,1.858799007991152e-4,NA,1.09505,0.05555555555555555,Future,0.01,200,0.1,0.2,0,0.1,NA,NA,NA,NA,1749.3333333333333,NA
2021-02-25,409.19714285714286,hg,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,1.8587276236811334e-4,NA,1.09505,0.05555555555555555,Future,0.01,200,0.1,0.2,0,0.1,NA,NA,NA,NA,1749.3333333333333,NA
2021-02-26,409.2128571428571,hg,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,1.85865624483057e-4,NA,1.09505,0.05555555555555555,Future,0.01,200,0.1,0.2,0,0.1,NA,NA,NA,NA,1749.3333333333333,NA
2021-02-27,409.2285714285714,hg,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,1.8585848714394615e-4,NA,1.09505,0.05555555555555555,Future,0.01,200,0.1,0.2,0,0.1,NA,NA,NA,NA,1749.3333333333333,NA
2021-02-28,409.2442857142857,hg,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,1.8585135036367718e-4,NA,1.09505,0.05555555555555555,Future,0.01,200,0.1,0.2,0,0.1,NA,NA,NA,NA,1749.3333333333333,NA
2021-03-01,409.26,hg,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,1.8584421412075612e-4,NA,1.09505,0.05555555555555555,Future,0.01,200,0.1,0.2,0,0.1,NA,NA,NA,NA,1749.3333333333333,NA
2021-03-02,410.0128571428571,hg,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.008895277233516907,NA,1.09505,0.05555555555555555,Future,0.01,200,0.1,0.2,0,0.1,NA,NA,NA,NA,1749.3333333333333,NA
2021-03-03,410.7657142857143,hg,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.00887895888166355,NA,1.09505,0.05555555555555555,Future,0.01,200,0.1,0.2,0,0.1,NA,NA,NA,NA,1749.3333333333333,NA
2021-03-04,411.5185714285714,hg,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.008862700292096654,NA,1.09505,0.05555555555555555,Future,0.01,200,0.1,0.2,0,0.1,NA,NA,NA,NA,1749.3333333333333,NA
