Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,CostPerTrade,multiple_EMA,multiple_DC,multiple_KF,multiple_TII,InstCapital,Exposure
2021-02-15,541.13,zc,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,1.061909,0,Future,0.01,150,0.1,0.9,0,0.45,NA,NA,NA,NA,0,NA
2021-02-16,542.14,zc,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.009025268707699432,NA,1.061909,0,Future,0.01,150,0.1,0.9,0,0.45,NA,NA,NA,NA,0,NA
2021-02-17,543.15,zc,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.009008470383448106,NA,1.061909,0,Future,0.01,150,0.1,0.9,0,0.45,NA,NA,NA,NA,0,NA
2021-02-18,544.16,zc,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.008991734474967572,NA,1.061909,0,Future,0.01,150,0.1,0.9,0,0.45,NA,NA,NA,NA,0,NA
2021-02-19,545.1700000000001,zc,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.008975060635032187,NA,1.061909,0,Future,0.01,150,0.1,0.9,0,0.45,NA,NA,NA,NA,0,NA
2021-02-20,546.1800000000001,zc,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.008958448518986976,NA,1.061909,0,Future,0.01,150,0.1,0.9,0,0.45,NA,NA,NA,NA,0,NA
2021-02-21,547.19,zc,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.00894189778473045,NA,1.061909,0,Future,0.01,150,0.1,0.9,0,0.45,NA,NA,NA,NA,0,NA
2021-02-22,548.2,zc,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.008925408092684498,NA,1.061909,0,Future,0.01,150,0.1,0.9,0,0.45,NA,NA,NA,NA,0,NA
2021-02-23,547.8914285714286,zc,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0027251116372413262,NA,1.061909,0,Future,0.01,150,0.1,0.9,0,0.45,NA,NA,NA,NA,0,NA
2021-02-24,547.5828571428572,zc,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.002726646847418692,NA,1.061909,0,Future,0.01,150,0.1,0.9,0,0.45,NA,NA,NA,NA,0,NA
