Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,CostPerTrade,multiple_EMA,multiple_DC,multiple_KF,multiple_TII,InstCapital,Exposure
2021-02-15,81.393,he,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,1.09505,0.05555555555555555,Future,0.01,800,0.01,0.1,0,0.05,NA,NA,NA,NA,1749.3333333333333,NA
2021-02-16,81.82328571428572,he,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.025519361290724057,NA,1.09505,0.05555555555555555,Future,0.01,800,0.01,0.1,0,0.05,NA,NA,NA,NA,1749.3333333333333,NA
2021-02-17,82.25357142857143,he,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.025385513443189216,NA,1.09505,0.05555555555555555,Future,0.01,800,0.01,0.1,0,0.05,NA,NA,NA,NA,1749.3333333333333,NA
2021-02-18,82.68385714285715,he,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.025253062324384245,NA,1.09505,0.05555555555555555,Future,0.01,800,0.01,0.1,0,0.05,NA,NA,NA,NA,1749.3333333333333,NA
2021-02-19,83.11414285714285,he,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.02512198618500065,NA,1.09505,0.05555555555555555,Future,0.01,800,0.01,0.1,0,0.05,NA,NA,NA,NA,1749.3333333333333,NA
2021-02-20,83.54442857142857,he,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.02499226372501301,NA,1.09505,0.05555555555555555,Future,0.01,800,0.01,0.1,0,0.05,NA,NA,NA,NA,1749.3333333333333,NA
2021-02-21,83.97471428571428,he,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.024863874082050756,NA,1.09505,0.05555555555555555,Future,0.01,800,0.01,0.1,0,0.05,NA,NA,NA,NA,1749.3333333333333,NA
2021-02-22,84.405,he,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.024736796820264324,NA,1.09505,0.05555555555555555,Future,0.01,800,0.01,0.1,0,0.05,NA,NA,NA,NA,1749.3333333333333,NA
2021-02-23,84.46114285714286,he,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0032183057418850324,NA,1.09505,0.05555555555555555,Future,0.01,800,0.01,0.1,0,0.05,NA,NA,NA,NA,1749.3333333333333,NA
2021-02-24,84.51728571428572,he,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0032161671861605256,NA,1.09505,0.05555555555555555,Future,0.01,800,0.01,0.1,0,0.05,NA,NA,NA,NA,1749.3333333333333,NA
2021-02-25,84.57342857142858,he,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.003214031470676701,NA,1.09505,0.05555555555555555,Future,0.01,800,0.01,0.1,0,0.05,NA,NA,NA,NA,1749.3333333333333,NA
2021-02-26,84.62957142857142,he,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.003211898589784958,NA,1.09505,0.05555555555555555,Future,0.01,800,0.01,0.1,0,0.05,NA,NA,NA,NA,1749.3333333333333,NA
2021-02-27,84.68571428571428,he,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0032097685378366944,NA,1.09505,0.05555555555555555,Future,0.01,800,0.01,0.1,0,0.05,NA,NA,NA,NA,1749.3333333333333,NA
2021-02-28,84.74185714285714,he,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.003207641309217699,NA,1.09505,0.05555555555555555,Future,0.01,800,0.01,0.1,0,0.05,NA,NA,NA,NA,1749.3333333333333,NA
2021-03-01,84.798,he,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.003205516898309462,NA,1.09505,0.05555555555555555,Future,0.01,800,0.01,0.1,0,0.05,NA,NA,NA,NA,1749.3333333333333,NA
2021-03-02,85.36957142857143,he,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.032514022439098476,NA,1.09505,0.05555555555555555,Future,0.01,800,0.01,0.1,0,0.05,NA,NA,NA,NA,1749.3333333333333,NA
2021-03-03,85.94114285714286,he,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.03229705732147771,NA,1.09505,0.05555555555555555,Future,0.01,800,0.01,0.1,0,0.05,NA,NA,NA,NA,1749.3333333333333,NA
2021-03-04,86.5127142857143,he,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.03208296862392732,NA,1.09505,0.05555555555555555,Future,0.01,800,0.01,0.1,0,0.05,NA,NA,NA,NA,1749.3333333333333,NA
2021-03-05,87.08428571428571,he,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.031871699521597026,NA,1.09505,0.05555555555555555,Future,0.01,800,0.01,0.1,0,0.05,NA,NA,NA,NA,1749.3333333333333,NA
2021-03-06,87.65585714285714,he,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.03166319467666316,NA,1.09505,0.05555555555555555,Future,0.01,800,0.01,0.1,0,0.05,NA,NA,NA,NA,1749.3333333333333,NA
2021-03-07,88.22742857142858,he,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.03145740018999312,NA,1.09505,0.05555555555555555,Future,0.01,800,0.01,0.1,0,0.05,NA,NA,NA,NA,1749.3333333333333,NA
2021-03-08,88.799,he,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.031254263554671265,NA,1.09505,0.05555555555555555,Future,0.01,800,0.01,0.1,0,0.05,NA,NA,NA,NA,1749.3333333333333,NA
2021-03-09,89.11271428571429,he,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.01706890097306388,NA,1.09505,0.05555555555555555,Future,0.01,800,0.01,0.1,0,0.05,NA,NA,NA,NA,1749.3333333333333,NA
2021-03-10,89.42642857142857,he,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.017008916713789297,NA,1.09505,0.05555555555555555,Future,0.01,800,0.01,0.1,0,0.05,NA,NA,NA,NA,1749.3333333333333,NA
2021-03-11,89.74014285714286,he,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.01694935257701271,NA,1.09505,0.05555555555555555,Future,0.01,800,0.01,0.1,0,0.05,NA,NA,NA,NA,1749.3333333333333,NA
2021-03-12,90.05385714285715,he,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.01689020416440794,NA,1.09505,0.05555555555555555,Future,0.01,800,0.01,0.1,0,0.05,NA,NA,NA,NA,1749.3333333333333,NA
