Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,multiple_EMA,multiple_DC,multiple_KF,multiple_TII,InstCapital,Exposure
2021-02-15,1.8144,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-02-16,1.8202,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.015447104951540695,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-02-17,1.826,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.015397961536426785,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-02-18,1.8318,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.015349129819631529,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-02-19,1.8376,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.015300606845045904,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-02-20,1.8434,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.015252389693828663,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-02-21,1.8492,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.01520447548381147,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-02-22,1.855,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.01515686136893148,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-02-23,1.8698285714285714,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0385363586485669,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-02-24,1.8846571428571428,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.03823195204982521,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-02-25,1.8994857142857142,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.037932316925129946,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-02-26,1.9143142857142859,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.03763734195938324,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-02-27,1.9291428571428573,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.03734691927332062,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-02-28,1.9439714285714287,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.03706094429196663,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-03-01,1.9588,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.036779315619081286,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-03-02,1.9611428571428573,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.005785507766256983,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-03-03,1.9634857142857143,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.005778600299131184,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-03-04,1.9658285714285715,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.005771709306346433,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-03-05,1.9681714285714287,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.005764834729034112,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-03-06,1.9705142857142859,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0057579765086066366,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-03-07,1.9728571428571429,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.005751134586757458,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-03-08,1.9752,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.005744308905455147,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-03-09,1.9540142857142857,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.052193565111792975,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-03-10,1.9328285714285716,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.052762551192259546,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-03-11,1.9116428571428572,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.05334407968732987,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-03-12,1.8904571428571428,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.053938569940260916,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-03-13,1.8692714285714285,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.054546460198965835,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-03-14,1.8480857142857143,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.05516820869348255,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-03-15,1.8269,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.05580429478798543,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-03-16,1.8245571428571428,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.006210906870250889,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-03-17,1.8222142857142858,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.00621888722866367,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-03-18,1.8198714285714286,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.006226888121298302,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-03-19,1.8175285714285714,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.00623490962750818,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-03-20,1.8151857142857142,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.006242951827062071,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-03-21,1.8128428571428572,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.006251014800137122,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-03-22,1.8105,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.006259098627328003,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-03-23,1.8129428571428572,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.006526075243301213,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-03-24,1.8153857142857142,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0065172875748028365,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-03-25,1.8178285714285713,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.006508523540505946,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-03-26,1.8202714285714285,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.006499783045190334,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-03-27,1.8227142857142857,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.006491065994152189,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-03-28,1.8251571428571427,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.006482372293190654,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-03-29,1.8276,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0064737018486121295,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-03-30,1.824942857142857,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.007041983735866873,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-03-31,1.8222857142857143,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.007052244438223738,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-04-01,1.8196285714285714,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.00706253508545545,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-04-02,1.8169714285714285,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.007072855808839873,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-04-03,1.8143142857142855,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.007083206740424353,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-04-04,1.8116571428571429,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.007093588013028942,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-04-05,1.809,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.007103999760256072,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-04-06,1.8210428571428572,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.032114024383087504,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-04-07,1.8330857142857142,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.03190234742092619,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-04-08,1.8451285714285715,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.03169344269847252,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-04-09,1.8571714285714285,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0314872561096365,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-04-10,1.8692142857142857,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.03128373494722592,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-04-11,1.8812571428571427,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.031082827858022983,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
2021-04-12,1.8933,lo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.030884484799589065,NA,1.106317,0,Future,1,250,0.1,0.0028,0,NA,NA,NA,NA,NA,0,NA
